folderId,meetId,objDes
43,225,2567-5 ทำไรกันดี
43,226,กราฟแสดงประสิทธิภาพ
43,226,หวังว่ารอบนี้จะได้นะ
43,226,2567-5 ทำไรกันดี
43,226,จุดรับส่ง
2,54,ำดะะำะภเเดพแ
2,54,ำพำดำดำก
1,215,หาสินค้าเตรียมขาย
17,216,coclusion
17,218,coclusion
17,218,coclusion
43,212,ทดสอบ obj
43,212,สร้าง obj ระหว่างการประชุมขึ้นดอย 1
43,212,ีลำดับการขึ้น
43,222,ส่งไปๆ
43,222,ส่งไปนะ
43,222,เพิ่มอ๊อบระหว่างการประชุม 2567-1
43,223,หวังว่ารอบนี้จะได้นะ
43,223,ส่งไปนะ
43,223,เพิ่มอ๊อบระหว่างการประชุม 2567-1
43,223,ประชุมทุกวัน
43,224,หวังว่ารอบนี้จะได้นะ
43,224,จุดรับส่ง
43,224,ส่งไปนะ
43,225,หวังว่ารอบนี้จะได้นะ
43,225,ส่งไปนะ
43,225,จุดรับส่ง
43,226,ส่งไปนะ
44,231,เย้
44,231,ทำอะไรดี
44,260,
44,260,เย้
44,260,ทำอะไรดี
44,260,Invite Nun to meeting.
2,279,ครั้งหน้าจะทำไรดีมิก
47,270,jjj
47,270,ppppppppppppp
47,270,kkkkk
44,281,ทดสอบยังทำไม่เสร็จ
44,282,ครั้งหน้าทำไรดี
44,282,ไม่อยากทำแล้ว
44,282,ทดสอบยังทำไม่เสร็จ
43,283,โฟร์ค
43,283,UAT with Folk
43,283,2567-5 ทำไรกันดี
43,283,จุดรับส่ง
43,283,ส่งไปนะ
43,283,หวังว่ารอบนี้จะได้นะ
43,283,กราฟแสดงประสิทธิภาพ
43,284,โฟร์ค
43,284,กราฟแสดงประสิทธิภาพ
43,284,จุดรับส่ง
43,284,หวังว่ารอบนี้จะได้นะ
43,284,2567-5 ทำไรกันดี
43,284,ส่งไปนะ
43,284,UAT with Folk
